"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"356","TMEM232","22",1.99719731687598,1.40347753034645,19048841.5,0.869670966800563,4.46002522403396e-158,7.66051674239454e-156,92.5595238095238,37.9128380555002
"357","PTPRN2","22",2.31113071910469,1.48954188625722,18974312,0.866268337705237,1.49158839917943e-145,2.1762755901576e-143,97.6190476190476,42.7725536516897
"358","FOXP2","22",1.55333311326621,1.29381013362228,18946378.5,0.864993039469849,3.09442583353581e-314,1.86614507267769e-311,87.7976190476191,13.991624353802
"359","SETBP1","22",2.06913873842102,1.35198198540005,18887171.5,0.862289955981472,6.4299679973532e-143,9.08835789125892e-141,95.5357142857143,42.5056374541717
"360","GPR158","22",1.63116683580958,1.21428780714332,18845163,0.860372066496758,2.41245141651643e-175,5.23752852331382e-173,90.1785714285714,29.4589577996288
"361","SORBS2","22",2.12094922025864,1.44651542249945,18801415,0.858374760494942,8.05873510678382e-151,1.24970259044514e-148,95.5357142857143,36.9510193437543
"362","BMPER","22",1.56419980992282,1.22257715886154,18800043,0.858312122115256,7.88630081075553e-195,2.01904180568192e-192,87.5,24.8400803816595
"363","PLXNA4","22",1.75345267018779,1.26742496795293,18789329,0.857822976634241,5.99854228617172e-169,1.14639746874738e-166,93.4523809523809,30.5097485772139
"364","RAPGEF4","22",1.96660022259837,1.28230116357393,18699571.5,0.853725116310157,5.32085865636403e-140,7.29280112204076e-138,94.9404761904762,40.3795118808388
"365","CACNB4","22",1.39076533570761,1.09925418920782,18689151.5,0.853249393339075,3.27714193036722e-213,9.7730854622314e-211,86.9047619047619,21.115525625489
"366","MGAT4C","22",2.11790552831652,1.55322568908183,18688025,0.853197963211731,5.48924340762602e-169,1.05650416734862e-166,91.3690476190476,29.3270337020049
"367","HCN1","22",1.89228416472849,1.33617098913014,18681327.5,0.852892190217602,2.21340668693856e-160,3.90048251104796e-158,94.0476190476191,31.7108714660449
"368","FRMPD4","22",2.44332831274978,1.62587730732551,18657661,0.851811700995421,1.82615618439665e-144,2.60832771221876e-142,96.4285714285714,37.3790056604642
"369","SLC1A2","23",3.50239489605935,2.68508430365221,18120651.5,0.905040379232248,3.42504151026427e-178,1.85897553011103e-175,98.371335504886,36.092796467233
"370","ADGRV1","23",3.04200336275552,2.46962548042922,18094892,0.903753814692952,3.51242161789473e-214,2.57621886125479e-211,97.0684039087948,26.7748167683768
"371","RNF219-AS1","23",2.12157607183398,1.82305134711219,17737899,0.885923711834716,0,0,90.5537459283388,12.5272164126468
"372","PITPNC1","23",2.78935825868737,2.00734926143966,17686230,0.88334309096937,1.22903941880377e-155,5.21151121054635e-153,96.742671009772,37.8223803244503
"373","RYR3","23",2.35323510384409,1.85609219343915,17534214.5,0.875750639573835,1.14601120697725e-199,7.23266328719735e-197,93.1596091205212,24.1743077064614
"374","ZNRF3","23",1.9107587937504,1.44157994081372,17468241.5,0.872455601923611,3.17846168985486e-169,1.51328233928564e-166,93.1596091205212,30.016253181637
"375","GLIS3","23",1.91889973061797,1.51070896343592,17408840,0.869488779451088,1.40427056216391e-208,9.52727362900108e-206,92.5081433224756,21.7531969701616
"376","TPD52L1","23",1.73820743681582,1.44479090154013,17395894.5,0.868842213281579,9.59786166813367e-263,2.36787972681647e-259,88.599348534202,16.0737833113558
"377","RFX4","23",1.5813396778591,1.32252728207592,17361877,0.867143200908844,2.90028794080262e-284,1.31180023562503e-280,87.6221498371335,14.4208654052562
"378","GPC5","23",3.04958668791326,2.23965173444055,17329869,0.865544553505991,1.2261663766496e-149,4.82256567094448e-147,93.1596091205212,34.4444785182005
"379","SLC4A4","23",1.97268427446914,1.55229653043337,17204231,0.859269532811179,2.9634640747613e-186,1.67546850126817e-183,88.9250814332247,23.556380140452
"380","PARD3B","23",1.77974190821455,1.30979273814355,16770271,0.837595294278882,7.25083296123289e-155,3.02727853695289e-152,90.228013029316,25.6861602625042
"381","PREX2","23",1.92781663453165,1.37890289561499,16736655,0.835916334922025,2.31585016056548e-137,6.98306018415844e-135,89.5765472312704,30.2585175871692
"382","SFXN5","23",1.67404066627729,1.19064501024915,16655140.5,0.8318450732462,1.37238462287516e-129,3.83956431913259e-127,88.9250814332247,31.9329019595817
"383","LRIG1","23",1.63107378557927,1.17909849066417,16630075,0.830593170706954,4.71568456812579e-138,1.47096836562986e-135,87.9478827361563,28.6270661473826
"384","SPARCL1","23",2.10211226783154,1.3492751918358,16614911,0.829835801011351,1.79093553106578e-110,3.88819267536505e-108,94.1368078175896,41.2554816155049
"385","TRPM3","23",1.91529409773968,1.41323010951933,16418149.5,0.820008499681799,4.73784814071339e-142,1.58735460299605e-139,85.3420195439739,25.0160998497347
"386","AHCYL1","23",1.5401923250301,1.04297700336325,16307664.5,0.814490299284894,1.15431012797705e-110,2.54680229699522e-108,86.6449511400651,34.79560857432
"387","NKAIN3","23",1.85743287811115,1.31635584132965,16249518,0.811586158094881,6.87169997376245e-127,1.84637815730659e-124,86.6449511400651,27.288478640866
"388","PARD3","23",1.83863739379605,1.22996121509333,16235645.5,0.810893292683231,8.33013412270224e-115,1.93216393010165e-112,91.2052117263844,31.5587721181269
"389","CARMIL1","23",1.69862892211652,1.15353698404329,16230725.5,0.810647562077694,1.88569328525516e-112,4.30033146010543e-110,87.2964169381108,32.5615627587476
"390","ABLIM1","23",1.775874203793,1.1095273709063,16071173,0.802678673370384,2.0471926712555e-95,3.24893068494338e-93,90.5537459283388,39.5810972430924
"391","GLUL","23",1.77868415802006,1.14539154611904,15995515,0.798899916022065,1.42330160181925e-98,2.38429375741795e-96,88.9250814332247,35.7401330920911
"392","CPE","23",1.63380734488681,1.02461757904399,15750240,0.786649596047853,1.09184262103743e-86,1.48896608290018e-84,85.0162866449512,38.8374375172498
"393","PTPRZ1","23",1.75652656816163,1.11197845105612,15710828,0.784681154050814,1.68315714168355e-101,3.10731418442233e-99,89.2508143322476,29.2143273329449
